,id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,Val_12,Val_13,Val_4,Val_5,Val_6,Val_7,Val_8,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1,trait_10,trait_14,trait_18,trait_19,trait_20,trait_21,trait_22,trait_23,trait_24,trait_25,trait_26,trait_3,trait_4,trait_6,trivia_1,trivia_11,trivia_13,trivia_15,trivia_17,trivia_20,trivia_5,trivia_9,Participant_ID,Prompt_Type,Study_Mode,Prompt_Trigger,Time_Window_Start,Time_Window_End,Initial_Prompt_Date,Initial_Prompt_Local_Time,Initial_Prompt_UTC_Offset,Initial_Prompt_UnixTime,Answer_Status,Reprompt1_Prompt_Date,Reprompt1_Prompt_Local_Time,Reprompt1_Prompt_UnixTime,Reprompt2_Prompt_Date,Reprompt2_Prompt_Local_Time,Reprompt2_Prompt_UnixTime,Reprompt3_Prompt_Date,Reprompt3_Prompt_Local_Time,Reprompt3_Prompt_UnixTime,Reprompt4_Prompt_Date,Reprompt4_Prompt_Local_Time,Reprompt4_Prompt_UnixTime,Reprompt5_Prompt_Date,Reprompt5_Prompt_Local_Time,Reprompt5_Prompt_UnixTime,Question_Set_Completion_Date,Question_Set_Completion_Local_Time,Question_Set_Completion_UnixTime,Question_Set_Completion_Prompt_Number,Probabilistic_Question_Set_Selected,Number_Of_Questions_Presented,Surveyversionnumber,Question_1_ID,Question_1_Text,Question_1_Answer_Text,Question_1_Answer_Unixtime,Question_2_ID,Question_2_Text,Question_2_Answer_Text,Question_2_Answer_Unixtime,Question_3_ID,Question_3_Text,Question_3_Answer_Text,Question_3_Answer_Unixtime,Question_4_ID,Question_4_Text,Question_4_Answer_Text,Question_4_Answer_Unixtime,Question_5_ID,Question_5_Text,Question_5_Answer_Text,Question_5_Answer_Unixtime,Question_6_ID,Question_6_Text,Question_6_Answer_Text,Question_6_Answer_Unixtime,Question_7_ID,Question_7_Text,Question_7_Answer_Text,Question_7_Answer_Unixtime,Question_8_ID,Question_8_Text,Question_8_Answer_Text,Question_8_Answer_Unixtime,Question_9_ID,Question_9_Text,Question_9_Answer_Text,Question_9_Answer_Unixtime,Question_10_ID,Question_10_Text,Question_10_Answer_Text,Question_10_Answer_Unixtime,Question_11_ID,Question_11_Text,Question_11_Answer_Text,Question_11_Answer_Unixtime,Question_12_ID,Question_12_Text,Question_12_Answer_Text,Question_12_Answer_Unixtime,Question_13_ID,Question_13_Text,Question_13_Answer_Text,Question_13_Answer_Unixtime,Question_14_ID,Question_14_Text,Question_14_Answer_Text,Question_14_Answer_Unixtime,Question_15_ID,Question_15_Text,Question_15_Answer_Text,Question_15_Answer_Unixtime,Question_16_ID,Question_16_Text,Question_16_Answer_Text,Question_16_Answer_Unixtime,Question_17_ID,Question_17_Text,Question_17_Answer_Text,Question_17_Answer_Unixtime,Question_18_ID,Question_18_Text,Question_18_Answer_Text,Question_18_Answer_Unixtime,Question_19_ID,Question_19_Text,Question_19_Answer_Text,Question_19_Answer_Unixtime,Q1_SAD_int,Q2_HAPP_int,Q3_FATIG_int,Q4_EN_int,Q5_REL_int,Q6_TEN_int,Q7_STRESS_int,Q8_FRUST_int,Q9_NERV_int,Q10_FOC_int,Q11_RESIST_int,Q12_PROC_int,Q13_DEM_int,Q14_ROUT_int,mood_score
0,spinstersubatomiccoyness,2020-05-09,0.0,0.0,0.0,0.0,607.0,62.0,0.0,23.0,,,51413.0,78.0,,2.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-09,2020-05-09 22:28:00 MST,GMT-07:00,1589088480124,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-09,2020-05-09 22:30:52 MST,1589088652414,1,set_1,25,7,key_next_sleep_que,What time do you plan to go to sleep next?,1589093100000.0,1589088501235.0,key_next_wake_que,What time do you plan to wake up next?,1589126400000.0,1589088504980.0,Q1_SAD,"Over the past day, how SAD did you feel?",A little,1589088513857.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Quite a bit,1589088519240.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Moderately,1589088523684.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Moderately,1589088528205.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589088533547.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589088538274.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Not at all,1589088541335.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",A little,1589088546276.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589088549268.0,Q10_FOC,"Over the past day, I felt FOCUSED.",A little,1589088558866.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589088567854.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589088573136.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589088578660.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Moderately,1589088585803.0,Q15_SICK,I was sick or ill today.,No,1589088589686.0,Q16_MISS,I missed or took time off from work or school today.,I didn't have work or school today,1589088594804.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589088599015.0,1,1,2,2,1,0,0,1,0,3,1,0,0,2,14
1,spinstersubatomiccoyness,2020-05-10,274.0,4.0,46.0,0.0,788.0,94.0,0.0,109.0,,,8581.0,118.0,155.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-10,2020-05-10 22:01:47 MST,GMT-07:00,1589173307801,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-10,2020-05-10 22:06:06 MST,1589173566154,1,set_4,31,7,key_next_sleep_que,What time do you plan to go to sleep next?,1589175900000.0,1589173316318.0,key_next_wake_que,What time do you plan to wake up next?,1589214600000.0,1589173319215.0,Q1_SAD,"Over the past day, how SAD did you feel?",A little,1589173328906.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Quite a bit,1589173340754.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Quite a bit,1589173349255.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Moderately,1589173353070.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589173359655.0,Q6_TEN,"Over the past day, how TENSE did you feel?",A little,1589173364624.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",A little,1589173368550.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",A little,1589173373372.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",A little,1589173379042.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Moderately,1589173385092.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589173396678.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589173401977.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589173407810.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Moderately,1589173418502.0,Q15_SICK,I was sick or ill today.,No,1589173425388.0,Q16_MISS,I missed or took time off from work or school today.,I didn't have work or school today,1589173429029.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589173432241.0,1,1,3,2,1,1,1,1,1,2,1,0,0,2,17
2,spinstersubatomiccoyness,2020-05-11,0.0,0.0,1.0,0.0,1291.0,48.0,0.0,13.0,,,6495.0,90.0,40.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,21,22,2020-05-11,2020-05-11 21:38:00 MST,GMT-07:00,1589258280159,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-11,2020-05-11 21:40:38 MST,1589258438944,1,set_2,24,7,key_next_sleep_que,What time do you plan to go to sleep next?,1589265000000.0,1589258292393.0,key_next_wake_que,What time do you plan to wake up next?,1589300100000.0,1589258297026.0,Q1_SAD,"Over the past day, how SAD did you feel?",A little,1589258303913.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Quite a bit,1589258313784.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",A little,1589258323541.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Moderately,1589258327306.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589258330397.0,Q6_TEN,"Over the past day, how TENSE did you feel?",A little,1589258335899.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Moderately,1589258339786.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589258343807.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589258346807.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Quite a bit,1589258354304.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Very much so,1589258360654.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589258364084.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",A little,1589258370135.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Very much so,1589258376167.0,Q15_SICK,I was sick or ill today.,No,1589258379139.0,Q16_MISS,I missed or took time off from work or school today.,No,1589258383919.0,Q17_TRAVEL,I traveled away from home today.,No,1589258388324.0,1,1,1,2,1,1,2,0,0,1,0,0,1,0,11
3,spinstersubatomiccoyness,2020-05-12,16.0,1.0,38.0,0.0,1096.0,99.0,0.0,37.0,,,7693.0,108.0,118.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-12,2020-05-12 22:47:00 MST,GMT-07:00,1589348820178,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-12,2020-05-12 22:49:41 MST,1589348981540,1,set_3,22,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589353200000.0,1589348834110.0,key_next_wake_que,What time do you plan to wake up next?,1589385600000.0,1589348841061.0,Q1_SAD,"Over the past day, how SAD did you feel?",Not at all,1589348850659.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Quite a bit,1589348856203.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Not at all,1589348865575.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Extremely,1589348871464.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589348881557.0,Q6_TEN,"Over the past day, how TENSE did you feel?",A little,1589348887217.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",A little,1589348894153.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589348897912.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",A little,1589348903430.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Very much so,1589348914739.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589348921631.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589348927798.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589348932305.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Quite a bit,1589348939531.0,Q15_SICK,I was sick or ill today.,No,1589348943995.0,Q16_MISS,I missed or took time off from work or school today.,No,1589348950399.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589348954475.0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,7
4,spinstersubatomiccoyness,2020-05-13,17.0,0.0,84.0,0.0,1114.0,88.0,0.0,27.0,,,6103.0,104.0,123.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-13,2020-05-13 22:24:00 MST,GMT-07:00,1589433840196,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-13,2020-05-13 22:26:56 MST,1589434016428,1,set_2,24,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589439600000.0,1589433847886.0,key_next_wake_que,What time do you plan to wake up next?,1589472000000.0,1589433850246.0,Q1_SAD,"Over the past day, how SAD did you feel?",Not at all,1589433853869.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Extremely,1589433859316.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Not at all,1589433876366.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Extremely,1589433881004.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589433885537.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589433891136.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Not at all,1589433894474.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",A little,1589433900199.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589433902462.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Very much so,1589433908451.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Very much so,1589433914283.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589433920569.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589433929023.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Very much so,1589433934252.0,Q15_SICK,I was sick or ill today.,No,1589433937039.0,Q16_MISS,I missed or took time off from work or school today.,No,1589433941055.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589433947491.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
5,spinstersubatomiccoyness,2020-05-14,6.0,0.0,8.0,0.0,1194.0,72.0,0.0,21.0,,,7460.0,75.0,61.0,2.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-14,2020-05-14 22:13:00 MST,GMT-07:00,1589519580181,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-14,2020-05-14 22:17:14 MST,1589519834123,1,set_3,22,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589526000000.0,1589519593155.0,key_next_wake_que,What time do you plan to wake up next?,1589560200000.0,1589519595549.0,Q1_SAD,"Over the past day, how SAD did you feel?",A little,1589519601830.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Extremely,1589519609454.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",A little,1589519618464.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Moderately,1589519629825.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589519666477.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589519670946.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Not at all,1589519685044.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589519691024.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",A little,1589519698897.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Quite a bit,1589519705105.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589519712259.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589519717473.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589519750991.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Very much so,1589519794681.0,Q15_SICK,I was sick or ill today.,No,1589519797659.0,Q16_MISS,I missed or took time off from work or school today.,No,1589519802492.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589519805077.0,1,0,1,2,1,0,0,0,1,1,1,0,0,0,8
6,spinstersubatomiccoyness,2020-05-16,94.0,0.0,37.0,0.0,1075.0,77.0,0.0,46.0,,,7125.0,98.0,162.0,1.0,3.9166666666666665,1.5,3.4166666666666665,3.8333333333333335,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,BURST,RANDOM,22,23,2020-05-16,2020-05-16 22:35:00 MST,GMT-07:00,1589693700132,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-16,2020-05-16 22:37:22 MST,1589693842956,1,set_4,24,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589697900000.0,1589693714358.0,key_next_wake_que,What time do you plan to wake up next?,1589733000000.0,1589693718763.0,Q1_SAD,"Over the past day, how SAD did you feel?",Not at all,1589693731768.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Extremely,1589693735846.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Not at all,1589693757518.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",Extremely,1589693763427.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589693766232.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589693779205.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Not at all,1589693781145.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589693783846.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589693786300.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Quite a bit,1589693789549.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Very much so,1589693796095.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589693798533.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589693814811.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Quite a bit,1589693817829.0,Q15_SICK,I was sick or ill today.,No,1589693820115.0,Q16_MISS,I missed or took time off from work or school today.,No,1589693823650.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589693825985.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3
7,spinstersubatomiccoyness,2020-05-17,18.0,0.0,6.0,0.0,1188.0,102.0,0.0,21.0,,,15624.0,104.0,117.0,1.0833333333333333,3.1666666666666665,2.1666666666666665,2.333333333333333,4.0,1.0833333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,BURST,RANDOM,22,23,2020-05-17,2020-05-17 22:24:00 MST,GMT-07:00,1589779440207,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-17,2020-05-17 22:36:08 MST,1589780168336,2,set_3,45,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589785200000.0,1589779453533.0,key_next_wake_que,What time do you plan to wake up next?,1589819400000.0,1589779457579.0,Q1_SAD,"Over the past day, how SAD did you feel?",Not at all,1589779461474.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Moderately,1589779465915.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Quite a bit,1589779473796.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",A little,1589779497576.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589779500853.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589779520622.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",Not at all,1589779522730.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589779534948.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589779537074.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Moderately,1589779540847.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Moderately,1589779561918.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589779565625.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589779584634.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Very much so,1589779590585.0,Q15_SICK,I was sick or ill today.,No,1589779593664.0,Q16_MISS,I missed or took time off from work or school today.,No,1589779601511.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589779616160.0,0,2,3,3,1,0,0,0,0,2,2,0,0,0,13
8,spinstersubatomiccoyness,2020-05-18,15.0,0.0,55.0,0.0,1146.0,109.0,0.0,52.0,,,11323.0,112.0,132.0,1.0769230769230769,3.076923076923077,2.0,2.4615384615384617,3.5384615384615383,1.2307692307692308,1.7692307692307692,1.2307692307692308,1.2307692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,BURST,RANDOM,22,23,2020-05-18,2020-05-18 22:47:00 MST,GMT-07:00,1589867220300,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-18,2020-05-18 22:50:23 MST,1589867423195,1,set_1,25,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589873400000.0,1589867230961.0,key_next_wake_que,What time do you plan to wake up next?,1589906700000.0,1589867234284.0,Q1_SAD,"Over the past day, how SAD did you feel?",Not at all,1589867243551.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Moderately,1589867255755.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Moderately,1589867258833.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",A little,1589867262347.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589867264892.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589867271562.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",A little,1589867276625.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589867278763.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589867283725.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Moderately,1589867287142.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589867293233.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",Not at all,1589867325202.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",Not at all,1589867348154.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Very much so,1589867357731.0,Q15_SICK,I was sick or ill today.,No,1589867378923.0,Q16_MISS,I missed or took time off from work or school today.,No,1589867384118.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589867387142.0,0,2,2,3,1,0,1,0,0,2,1,0,0,0,12
9,spinstersubatomiccoyness,2020-05-19,6.0,0.0,1.0,0.0,1225.0,79.0,0.0,29.0,,,15754.0,82.0,133.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinstersubatomiccoyness,Daily,TIME,RANDOM,22,23,2020-05-19,2020-05-19 22:48:00 MST,GMT-07:00,1589953680109,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-05-19,2020-05-19 22:49:34 MST,1589953774507,1,set_2,24,8,key_next_sleep_que,What time do you plan to go to sleep next?,1589958900000.0,1589953686406.0,key_next_wake_que,What time do you plan to wake up next?,1589994900000.0,1589953688232.0,Q1_SAD,"Over the past day, how SAD did you feel?",A little,1589953691991.0,Q2_HAPP,"Over the past day, how HAPPY did you feel?",Moderately,1589953696426.0,Q3_FATIG,"Over the past day, how FATIGUED did you feel?",Quite a bit,1589953700541.0,Q4_EN,"Over the past day, how ENERGETIC did you feel?",A little,1589953705109.0,Q5_REL,"Over the past day, how RELAXED did you feel?",Quite a bit,1589953707817.0,Q6_TEN,"Over the past day, how TENSE did you feel?",Not at all,1589953710284.0,Q7_STRESS,"Over the past day, how STRESSED did you feel?",A little,1589953713178.0,Q8_FRUST,"Over the past day,  how FRUSTRATED do you feel?",Not at all,1589953715359.0,Q9_NERV,"Over the past day, how  NERVOUS did you feel?",Not at all,1589953721242.0,Q10_FOC,"Over the past day, I felt FOCUSED.",Quite a bit,1589953726950.0,Q11_RESIST,"Over the past day, I felt like I could RESIST doing things that aren’t good for me.",Quite a bit,1589953731088.0,Q12_PROC,"Over the past day, I PROCRASTINATED.",A little,1589953737447.0,Q13_DEM,"Over the past day, I felt like I couldn’t get everything done.",A little,1589953743090.0,Q14_ROUT,"Over the past day, I followed my usual routine.",Quite a bit,1589953746780.0,Q15_SICK,I was sick or ill today.,No,1589953749123.0,Q16_MISS,I missed or took time off from work or school today.,No,1589953751891.0,Q17_TRAVEL,I traveled away from home today.,Yes,1589953758113.0,1,2,3,3,1,0,1,0,0,1,1,1,1,1,16
