x_var,y_var,correlation,p_value,direction,method
UNKNOWN,frust_12_response,-0.20361387007978346,0.026348151865662237,Negative,Spearman
TILTING,feel_eat_1_response,0.1678429328952713,0.040749674081284916,Positive,Pearson
ON_FOOT,prod_0_response,0.30646898705069303,0.0004826672720917893,Positive,Pearson
UNLOCK_EVENTS_NUM,int_eat_1_response,0.19424076980527474,0.03751636304532318,Positive,Spearman
SCREEN_ON_SECONDS,int_eat_1_response,-0.2982886565148051,0.0012041866313606349,Negative,Spearman
IN_VEHICLE,friend_1_response,0.3589111128405825,4.915569075685502e-05,Positive,Spearman
UNKNOWN,routine_0_response,-0.18749495149163603,0.027658242174036257,Negative,Spearman
STILL,happy_8_response,-0.18028377698270184,0.04171154266207823,Negative,Spearman
UNKNOWN,int_sed_1_response,0.36254646600111723,0.00012425519218636972,Positive,Pearson
UNKNOWN,feel_sit_1_response,0.1949399841150005,0.019642210684273156,Positive,Pearson
UNKNOWN,int_eat_1_response,0.2424858075321057,0.009026368290390488,Positive,Spearman
MIMS_SUM_WEAR,int_sed_1_response,0.536159745016349,2.652925873764141e-09,Positive,Pearson
IN_VEHICLE,int_sed_1_response,0.2041453371500949,0.034930902858686275,Positive,Spearman
SCREEN_ON_SECONDS,feel_exer_1_response,-0.2842013071001403,0.0013794778841579797,Negative,Spearman
TILTING,int_sed_1_response,0.2915167351491384,0.002315124344779049,Positive,Pearson
MIMS_SUM_WEAR,prod_0_response,0.40170284921543337,3.130297001669572e-06,Positive,Spearman
MIMS_SUM_WEAR,feel_eat_1_response,0.32473013869882617,5.333544189747593e-05,Positive,Pearson
ON_FOOT,hunger_0_response,-0.19841617159203984,0.02982267195645393,Negative,Spearman
ON_FOOT,energy_9_response,0.23807925866642057,0.012259132530092582,Positive,Spearman
TILTING,prod_0_response,0.35050957549494427,5.7299685029911615e-05,Positive,Spearman
UNKNOWN,feel_eat_1_response,0.19198563793348852,0.018995959545242344,Positive,Spearman
MIMS_SUM_WEAR,control_1_response,0.22478816398021742,0.013574416158622557,Positive,Pearson
UNKNOWN,energy_9_response,0.2483848414498819,0.00888464056174033,Positive,Pearson
UNKNOWN,routine_0_response,-0.251255322825117,0.002953161099452118,Negative,Pearson
ON_FOOT,feel_sit_1_response,0.31986990722319464,9.846710047855391e-05,Positive,Pearson
ON_BIKE,control_1_response,0.22760804635526363,0.012414764886520987,Positive,Spearman
MIMS_SUM_WEAR,prod_0_response,0.39316697875252654,5.261330303991494e-06,Positive,Pearson
STILL,int_eat_1_response,0.20245965628198925,0.030011051530747967,Positive,Pearson
ON_BIKE,int_exer_3_response,0.4048885764888222,0.00012125173007910238,Positive,Spearman
