x_var,y_var,correlation,p_value,direction,method
ON_FOOT,activity_2_response,0.4381284260038816,7.429661060655528e-14,Positive,Pearson
SLEEP_MINUTES,tired_1_response,0.31779303536683995,0.0014290657121657935,Positive,Pearson
UNKNOWN,int_sed_1_response,0.3073274432266554,0.0018691423785834858,Positive,Pearson
IN_VEHICLE,int_sed_1_response,0.30724771742542656,0.0018745176633621593,Positive,Spearman
UNKNOWN,happy_8_response,0.28433263401431963,0.0013721163807020298,Positive,Pearson
ON_FOOT,int_exer_3_response,0.2837774984091834,0.005080855714377419,Positive,Spearman
UNKNOWN,family_1_response,0.2771473853498764,0.0027124403323218757,Positive,Pearson
SCREEN_ON_SECONDS,alone_0_response,0.2670600130064163,0.004997113608665909,Positive,Spearman
IN_VEHICLE,friend_1_response,0.26531440608786555,0.0019471098586046614,Positive,Pearson
UNLOCK_EVENTS_NUM,feel_eat_1_response,0.2594579022944921,0.004055699784567059,Positive,Spearman
STILL,tense_11_response,0.2537655857609712,0.004295814703017485,Positive,Pearson
STILL,frust_12_response,0.23980371606598896,0.005433676062792671,Positive,Pearson
SCREEN_ON_SECONDS,sad_7_response,0.2369108561152386,0.014479505926027099,Positive,Spearman
IN_VEHICLE,stress_2_response,0.2336301801558916,0.010224389837627136,Positive,Pearson
MIMS_SUM_WEAR,family_1_response,0.2327687512964404,0.012301191624704708,Positive,Pearson
STILL,burden_1_response,0.22582634702511636,0.015236964370431965,Positive,Pearson
STILL,stress_2_response,0.2190175375756033,0.016245167521350277,Positive,Pearson
ON_FOOT,focus_3_response,0.21366106729891568,0.008657261368430366,Positive,Spearman
SCREEN_ON_SECONDS,relax_10_response,0.21296436205091604,0.01851587124415598,Positive,Spearman
UNKNOWN,pain_0_response,0.21146249525236654,0.012457283914922889,Positive,Spearman
SCREEN_ON_SECONDS,focus_3_response,0.19768087684345936,0.015316351923677272,Positive,Spearman
UNKNOWN,feel_sit_1_response,0.1961136070211598,0.015118046623445203,Positive,Spearman
STILL,excite_14_response,0.19321899052937952,0.04411247951216362,Positive,Spearman
UNLOCK_EVENTS_NUM,feel_sit_1_response,0.18870353713667382,0.019490217998107125,Positive,Spearman
SLEEP_MINUTES,demands_1_response,0.18376107098550912,0.049314220003949596,Positive,Pearson
ON_FOOT,prod_0_response,0.18375897322738816,0.03863740727623544,Positive,Pearson
ON_FOOT,happy_8_response,0.17837456007553046,0.0474675540776164,Positive,Spearman
TILTING,activity_2_response,-0.1214548359851246,0.04825534859091433,Negative,Pearson
UNKNOWN,activity_0_response,-0.157152718965967,0.02442819168936252,Negative,Pearson
STILL,prod_0_response,-0.1818006501482479,0.040794569513337965,Negative,Spearman
IN_VEHICLE,proc_4_response,-0.18729821067469768,0.04408613752938305,Negative,Pearson
ON_FOOT,frust_12_response,-0.18737606773650223,0.030796291362508162,Negative,Pearson
UNLOCK_EVENTS_NUM,proc_4_response,-0.18816511867816502,0.043097998756785674,Negative,Spearman
SCREEN_ON_SECONDS,friend_1_response,-0.1894301091684734,0.028368214495452185,Negative,Spearman
ON_FOOT,energy_9_response,-0.1914163938747756,0.04320009115318004,Negative,Pearson
UNLOCK_EVENTS_NUM,control_1_response,-0.19230947301310528,0.03382844126517199,Negative,Spearman
IN_VEHICLE,sad_7_response,-0.1931986720352465,0.04722754553155211,Negative,Spearman
ON_FOOT,demands_1_response,-0.19320702212184346,0.038563386228557844,Negative,Spearman
UNKNOWN,proc_4_response,-0.19369101897812638,0.03722424911398356,Negative,Pearson
SLEEP_MINUTES,fatigue_13_response,-0.19620119342991574,0.025851657789243584,Negative,Spearman
TILTING,activity_0_response,-0.1982065282798814,0.004387733081182266,Negative,Pearson
TILTING,proc_4_response,-0.19981715101537947,0.03151353257663387,Negative,Spearman
UNLOCK_EVENTS_NUM,burden_1_response,-0.20032903872683427,0.03182262211759699,Negative,Spearman
SCREEN_ON_SECONDS,happy_8_response,-0.20105080324459546,0.02515282015629661,Negative,Pearson
IN_VEHICLE,routine_0_response,-0.2019048514602963,0.019776759987540995,Negative,Pearson
ON_FOOT,burden_1_response,-0.2137493375177194,0.021805297763735403,Negative,Spearman
ON_BIKE,feel_eat_1_response,-0.2140392629029954,0.018404336128158283,Negative,Pearson
ON_BIKE,hunger_0_response,-0.21476633230360326,0.047060691146127466,Negative,Pearson
UNKNOWN,sad_7_response,-0.21707894561350188,0.025404903266292505,Negative,Pearson
MIMS_SUM_WEAR,int_exer_3_response,-0.21756942782865626,0.03322196724349471,Negative,Spearman
STILL,focus_3_response,-0.21763075784522612,0.007466944069582974,Negative,Spearman
TILTING,sad_7_response,-0.22058994731230477,0.02307134795770173,Negative,Pearson
MIMS_SUM_WEAR,demands_1_response,-0.22840931047857324,0.014080368412761704,Negative,Spearman
UNLOCK_EVENTS_NUM,tired_1_response,-0.2288794354462886,0.023396308362538535,Negative,Pearson
TILTING,tired_1_response,-0.23536091773964718,0.019651613593147987,Negative,Pearson
IN_VEHICLE,relax_10_response,-0.23940729180445106,0.007910724217001399,Negative,Pearson
UNLOCK_EVENTS_NUM,sad_7_response,-0.2420792358090108,0.01241544724286357,Negative,Pearson
STILL,int_exer_3_response,-0.2728269659838431,0.007159072050187086,Negative,Pearson
UNKNOWN,int_exer_3_response,-0.2810053609929589,0.005548630199574148,Negative,Pearson
ON_FOOT,proc_4_response,-0.2834062586414138,0.002050723068605957,Negative,Spearman
STILL,activity_2_response,-0.2905715847070413,1.4940627145325703e-06,Negative,Pearson
