x_var,y_var,correlation,p_value,direction,method
TILTING,sleep_0_response,-0.2982280208851264,0.02700059775678138,Negative,Spearman
UNLOCK_EVENTS_NUM,int_exer_3_response,0.33829225856750056,0.0006568457604411363,Positive,Pearson
SLEEP_MINUTES,energy_9_response,0.21521878553165985,0.019258729473090812,Positive,Pearson
SCREEN_ON_SECONDS,int_exer_3_response,0.45907169785478624,1.990232808903013e-06,Positive,Spearman
MIMS_SUM_WEAR,int_eat_1_response,-0.20462812996493168,0.025592188682918897,Negative,Spearman
MIMS_SUM_WEAR,stress_2_response,-0.20891035219652648,0.03698645770458034,Negative,Pearson
UNLOCK_EVENTS_NUM,int_exer_3_response,0.3717487914797386,0.00016395934814516152,Positive,Spearman
SCREEN_ON_SECONDS,family_1_response,-0.24008952482076823,0.007477935330935361,Negative,Spearman
SLEEP_MINUTES,sleep_0_response,0.550300238746402,1.3458281728910243e-05,Positive,Pearson
SCREEN_ON_SECONDS,int_exer_3_response,0.49084439520772316,2.879396970838863e-07,Positive,Pearson
SLEEP_MINUTES,sleep_0_response,0.37949250948554253,0.004270110906681626,Positive,Spearman
SLEEP_MINUTES,energy_9_response,0.2357279361112308,0.010177992742920637,Positive,Spearman
SCREEN_ON_SECONDS,family_1_response,-0.1966974842625899,0.029216290026513075,Negative,Pearson
