x_var,y_var,correlation,p_value,direction,method
MIMS_SUM_WEAR,demands_1_response,0.2582329871977838,0.0012228257539266363,Positive,Pearson
SLEEP_MINUTES,demands_1_response,-0.2286861835131289,0.004334916125653626,Negative,Spearman
SCREEN_ON_SECONDS,sad_7_response,-0.21354144864127786,0.015104910727907081,Negative,Spearman
SLEEP_MINUTES,int_sed_1_response,-0.19652817065873998,0.02935832690155715,Negative,Spearman
SCREEN_ON_SECONDS,friend_1_response,-0.16868947781730317,0.04633070729438989,Negative,Pearson
MIMS_SUM_WEAR,demands_1_response,0.2285791256341101,0.004353666683771847,Positive,Spearman
MIMS_SUM_WEAR,stress_2_response,-0.21881349975980036,0.01988827856391272,Negative,Pearson
UNLOCK_EVENTS_NUM,proc_4_response,-0.20545213679899432,0.017244048622549926,Negative,Spearman
SCREEN_ON_SECONDS,activity_2_response,0.2627594052632659,1.1283986265179816e-05,Positive,Pearson
SCREEN_ON_SECONDS,prod_0_response,-0.17079379865085997,0.041401947639493134,Negative,Spearman
SLEEP_MINUTES,energy_9_response,-0.2069506255770523,0.016844849211375884,Negative,Spearman
UNLOCK_EVENTS_NUM,int_sed_1_response,0.32740514855996433,0.0002186425913628224,Positive,Pearson
SCREEN_ON_SECONDS,prod_0_response,-0.16828226979018682,0.044531537331979364,Negative,Pearson
UNLOCK_EVENTS_NUM,proc_4_response,-0.18522063717410225,0.032147495612397596,Negative,Pearson
MIMS_SUM_WEAR,activity_0_response,-0.1828426394808078,0.008525189244563025,Negative,Spearman
SLEEP_MINUTES,sad_7_response,0.19602376298265806,0.025988895113628504,Positive,Spearman
MIMS_SUM_WEAR,stress_2_response,-0.2093185494358865,0.02607745390010845,Negative,Spearman
SLEEP_MINUTES,nervous_4_response,0.20824105250654495,0.01787653575308987,Positive,Spearman
UNLOCK_EVENTS_NUM,prod_0_response,0.1817878869374971,0.029785838776346853,Positive,Pearson
SCREEN_ON_SECONDS,activity_2_response,0.2470207310417941,3.80153151340666e-05,Positive,Spearman
SCREEN_ON_SECONDS,burden_1_response,-0.19011352814127142,0.03443826035753537,Negative,Spearman
MIMS_SUM_WEAR,activity_0_response,-0.15982137167918203,0.0217514715948088,Negative,Pearson
SCREEN_ON_SECONDS,sad_7_response,-0.21838688861629718,0.012906328675029086,Negative,Pearson
SCREEN_ON_SECONDS,int_sed_1_response,-0.19771562845494986,0.02837442750734158,Negative,Spearman
UNLOCK_EVENTS_NUM,feel_sit_1_response,0.19546422718853673,0.03239731683740053,Positive,Spearman
SLEEP_MINUTES,nervous_4_response,0.2217997897491671,0.01153074585672877,Positive,Pearson
UNLOCK_EVENTS_NUM,int_sed_1_response,0.3833570722082981,1.2052605208050153e-05,Positive,Spearman
UNLOCK_EVENTS_NUM,activity_2_response,-0.21299349372922033,0.00040427687692359794,Negative,Pearson
UNLOCK_EVENTS_NUM,activity_2_response,-0.197373137927593,0.0010663100365355088,Negative,Spearman
