x_var,y_var,correlation,p_value,direction,method
SCREEN_ON_SECONDS,alone_0_response,0.5389224064112739,6.10372904338143e-09,Positive,Spearman
UNLOCK_EVENTS_NUM,stress_2_response,0.37003043574167604,8.09472341501857e-05,Positive,Spearman
SCREEN_ON_SECONDS,frust_12_response,0.32915928021440705,0.0009348526343251328,Positive,Spearman
SCREEN_ON_SECONDS,tense_11_response,0.327148222039843,0.0010725880095109328,Positive,Spearman
UNLOCK_EVENTS_NUM,frust_12_response,0.31436570836346683,0.0016190119125692821,Positive,Spearman
STILL,alone_0_response,0.31144293359657227,0.0015231265576779612,Positive,Spearman
SCREEN_ON_SECONDS,tired_1_response,0.3111426493228357,0.0016276445899370783,Positive,Spearman
UNLOCK_EVENTS_NUM,tense_11_response,0.29150685883483834,0.003767634908047017,Positive,Spearman
SCREEN_ON_SECONDS,stress_2_response,0.2904327282205305,0.0022948720293282415,Positive,Spearman
SCREEN_ON_SECONDS,prod_0_response,0.2707919066538625,0.012188662093434941,Positive,Pearson
UNLOCK_EVENTS_NUM,alone_0_response,0.24946648583981743,0.011875888275427841,Positive,Spearman
SCREEN_ON_SECONDS,sad_7_response,0.24678933095852593,0.018359993008677536,Positive,Spearman
UNLOCK_EVENTS_NUM,tired_1_response,0.20996184352487007,0.03602437344774874,Positive,Spearman
SCREEN_ON_SECONDS,routine_0_response,0.2099593482007731,0.023690066432168404,Positive,Spearman
STILL,pain_0_response,0.20570411148456866,0.04108851350283709,Positive,Spearman
UNLOCK_EVENTS_NUM,focus_3_response,0.2047880939599715,0.02251502473913157,Positive,Spearman
UNLOCK_EVENTS_NUM,activity_2_response,0.18927639943583133,0.0033767429263968436,Positive,Spearman
SCREEN_ON_SECONDS,focus_3_response,0.1764364956565741,0.04996982049461417,Positive,Spearman
SCREEN_ON_SECONDS,activity_2_response,0.15976001636577863,0.013604088351145124,Positive,Spearman
SCREEN_ON_SECONDS,family_1_response,-0.19683474839384424,0.04416238572627925,Negative,Pearson
UNLOCK_EVENTS_NUM,family_1_response,-0.2000940040836179,0.04070174322955471,Negative,Pearson
TILTING,alone_0_response,-0.20133626226582507,0.043493131583228165,Negative,Pearson
UNLOCK_EVENTS_NUM,int_exer_3_response,-0.2057204490711623,0.03805048719667784,Negative,Pearson
UNLOCK_EVENTS_NUM,feel_eat_1_response,-0.20905054473579232,0.023094998596651206,Negative,Pearson
UNLOCK_EVENTS_NUM,feel_sit_1_response,-0.21332856989473123,0.021489545938920475,Negative,Spearman
SCREEN_ON_SECONDS,happy_8_response,-0.21933485690710217,0.033668970232598766,Negative,Pearson
UNLOCK_EVENTS_NUM,energy_9_response,-0.22008404069668663,0.04297842028789322,Negative,Spearman
STILL,hunger_0_response,-0.2210098944182027,0.03740273782723295,Negative,Spearman
SCREEN_ON_SECONDS,feel_exer_1_response,-0.23125640733581407,0.01460386329396256,Negative,Spearman
UNLOCK_EVENTS_NUM,relax_10_response,-0.2353052414706886,0.022430320007396264,Negative,Spearman
UNLOCK_EVENTS_NUM,friend_1_response,-0.2368712210574765,0.018245095216831913,Negative,Pearson
MIMS_SUM_WEAR,frust_12_response,-0.2516872873436906,0.012419604300794538,Negative,Pearson
SCREEN_ON_SECONDS,friend_1_response,-0.2543244757420025,0.011076559019230452,Negative,Pearson
IN_VEHICLE,alone_0_response,-0.29739382726636615,0.002525954215054029,Negative,Pearson
UNKNOWN,alone_0_response,-0.3157712438547193,0.0012968305162462466,Negative,Spearman
ON_FOOT,alone_0_response,-0.3432719665740557,0.0004408830168861451,Negative,Pearson
UNLOCK_EVENTS_NUM,int_eat_1_response,-0.353456161033451,0.0008429240191401847,Negative,Pearson
UNLOCK_EVENTS_NUM,happy_8_response,-0.36073919041016367,0.0003545952459188273,Negative,Pearson
