x_var,y_var,correlation,p_value,direction,method
UNLOCK_EVENTS_NUM,stress_2_response,0.23421608119186718,0.00856409591647365,Positive,Pearson
SCREEN_ON_SECONDS,burden_1_response,0.27153938589958826,0.001385091776291915,Positive,Pearson
MIMS_SUM_WEAR,int_exer_3_response,0.20445265983532937,0.02274165520461028,Positive,Pearson
SCREEN_ON_SECONDS,routine_0_response,0.36315271807452254,1.7596102807037568e-06,Positive,Spearman
SCREEN_ON_SECONDS,proc_4_response,0.30330599425780413,0.0003489665265206638,Positive,Pearson
SCREEN_ON_SECONDS,proc_4_response,0.3040789871771393,0.0003364152511929189,Positive,Spearman
SCREEN_ON_SECONDS,tense_11_response,0.32248954572562355,0.0007049198873689158,Positive,Pearson
SCREEN_ON_SECONDS,sleep_0_response,-0.287130296072463,0.01759342039594349,Negative,Pearson
UNLOCK_EVENTS_NUM,hunger_0_response,0.1840818451267883,0.04992752476870318,Positive,Spearman
SCREEN_ON_SECONDS,sad_7_response,0.2738299402498069,0.0012043511958113125,Positive,Pearson
SCREEN_ON_SECONDS,friend_1_response,-0.3733865083775895,3.955745771418522e-05,Negative,Spearman
SCREEN_ON_SECONDS,sleep_0_response,-0.3582157342046083,0.0027053558633782205,Negative,Spearman
UNLOCK_EVENTS_NUM,proc_4_response,0.27619599986348453,0.001184525909685177,Positive,Spearman
SCREEN_ON_SECONDS,feel_eat_1_response,0.19126669940593372,0.01641251980291395,Positive,Pearson
MIMS_SUM_WEAR,alone_0_response,-0.2170230896485821,0.018756031143936022,Negative,Pearson
UNLOCK_EVENTS_NUM,stress_2_response,0.220242613235793,0.013585752641175838,Positive,Spearman
UNLOCK_EVENTS_NUM,proc_4_response,0.23532161645188723,0.006005913227990851,Positive,Pearson
SCREEN_ON_SECONDS,feel_eat_1_response,0.16906136194715066,0.03428823201850667,Positive,Spearman
MIMS_SUM_WEAR,alone_0_response,-0.22861157450163877,0.013168228161589041,Negative,Spearman
SCREEN_ON_SECONDS,routine_0_response,0.32494016392662906,2.1838413169615474e-05,Positive,Pearson
SCREEN_ON_SECONDS,sad_7_response,0.2587900167914854,0.0022618985421443936,Positive,Spearman
SCREEN_ON_SECONDS,tense_11_response,0.3171429356666158,0.0008735357523060467,Positive,Spearman
SCREEN_ON_SECONDS,burden_1_response,0.25759743469476265,0.0024649323908850036,Positive,Spearman
SCREEN_ON_SECONDS,friend_1_response,-0.38101227638545665,2.6591063756136655e-05,Negative,Pearson
UNLOCK_EVENTS_NUM,feel_exer_1_response,0.22044186631673998,0.017413965084917885,Positive,Pearson
