x_var,y_var,correlation,p_value,direction,method
UNLOCK_EVENTS_NUM,frust_12_response,0.26263214040878313,0.009352690245523234,Positive,Spearman
UNLOCK_EVENTS_NUM,energy_9_response,0.24348428704395575,0.01569539294283682,Positive,Pearson
UNLOCK_EVENTS_NUM,prod_0_response,0.24317526579382384,0.014773136446855,Positive,Spearman
UNLOCK_EVENTS_NUM,family_1_response,0.23762686725698148,0.017284526647702882,Positive,Pearson
MIMS_SUM_WEAR,happy_8_response,0.23666401014349656,0.021643282893516937,Positive,Pearson
MIMS_SUM_WEAR,int_exer_3_response,0.2319055690112922,0.02785144030393987,Positive,Pearson
MIMS_SUM_WEAR,routine_0_response,0.23132306319091087,0.009442796850831988,Positive,Pearson
MIMS_SUM_WEAR,family_1_response,0.22901158460194299,0.02191301831975121,Positive,Pearson
MIMS_SUM_WEAR,burden_1_response,0.20694176658430222,0.04536558308264255,Positive,Pearson
SCREEN_ON_SECONDS,friend_1_response,0.20641478316977374,0.04964074266996267,Positive,Pearson
SCREEN_ON_SECONDS,activity_0_response,0.1570936783107447,0.019181250856756246,Positive,Spearman
SLEEP_MINUTES,burden_1_response,-0.21341635242752577,0.038892557225534946,Negative,Pearson
SCREEN_ON_SECONDS,alone_0_response,-0.2140678568456055,0.040461082029758046,Negative,Pearson
UNLOCK_EVENTS_NUM,fatigue_13_response,-0.24553992487705023,0.016467577489671807,Negative,Pearson
UNLOCK_EVENTS_NUM,routine_0_response,-0.24559915944393715,0.005767541819076539,Negative,Spearman
UNLOCK_EVENTS_NUM,happy_8_response,-0.296020427860639,0.0037693422426185942,Negative,Spearman
UNLOCK_EVENTS_NUM,tired_1_response,-0.2986351300047309,0.0038336445177974774,Negative,Pearson
SLEEP_MINUTES,hunger_0_response,-0.3371705898131938,0.001602360746406407,Negative,Spearman
