x_var,y_var,correlation,p_value,direction,method
SLEEP_MINUTES,sleep_0_response,0.37369864152071636,0.0007513750148333179,Positive,Spearman
STILL,friend_1_response,0.3198822990994862,0.00013872093859254432,Positive,Pearson
USAGE_DURATION_MIN,focus_3_response,0.30739835716182035,0.00013001922331626467,Positive,Spearman
MIMS_SUM_WEAR,int_exer_3_response,0.30137623952759274,0.000866225082842944,Positive,Pearson
ON_BIKE,nervous_4_response,0.2998391653689091,0.0015373724364257705,Positive,Pearson
TILTING,family_1_response,0.2797085919958777,0.00111159379224091,Positive,Pearson
TILTING,nervous_4_response,0.27641227934469814,0.0036204443241148925,Positive,Pearson
STILL,int_eat_1_response,0.27188215785191133,0.0023497272197699035,Positive,Spearman
STILL,tense_11_response,0.2673008813694435,0.003163518965625255,Positive,Spearman
STILL,routine_0_response,0.2655411426039366,0.0006896574234679108,Positive,Spearman
TILTING,int_sed_1_response,0.2613730097252192,0.004088716284765572,Positive,Pearson
IN_VEHICLE,family_1_response,0.2514045116755266,0.0035115205834086146,Positive,Pearson
UNLOCK_EVENTS_NUM,nervous_4_response,0.22929003430654749,0.016471186593331178,Positive,Spearman
ON_FOOT,int_eat_1_response,0.22070629257512075,0.01416355095231055,Positive,Spearman
UNLOCK_EVENTS_NUM,tense_11_response,0.2173201432879576,0.017112848933989396,Positive,Spearman
IN_VEHICLE,int_exer_3_response,0.21032405750085378,0.02168211523796761,Positive,Spearman
ON_FOOT,feel_eat_1_response,0.2093511580804921,0.012722239581214228,Positive,Spearman
IN_VEHICLE,nervous_4_response,0.2058308017198192,0.03177660226938351,Positive,Spearman
MIMS_SUM_WEAR,int_sed_1_response,0.19938703423172496,0.029706975537033085,Positive,Pearson
ON_FOOT,int_sed_1_response,0.1970787467462995,0.03169001525796518,Positive,Pearson
MIMS_SUM_WEAR,demands_1_response,0.19675382599347968,0.03426893473871206,Positive,Spearman
MIMS_SUM_WEAR,tense_11_response,0.18880989087602754,0.03889705003328852,Positive,Spearman
ON_BIKE,energy_9_response,0.18560423121586592,0.03521528830022636,Positive,Spearman
