Participant_ID,Model_Type,R2_mood,MAE_mood,R2_stress,MAE_stress
diagramuncoupleoutput,All_Features,-0.08,2.493,-0.004,0.599
diagramuncoupleoutput,No_Watch_EMAs,-0.274,2.726,-0.616,0.812
diagramuncoupleoutput,Watch_EMAs_Only,0.01,0.608,0.01,0.608
smeltingexerciserstabilize,All_Features,-1.226,3.355,0.0,0.448
smeltingexerciserstabilize,No_Watch_EMAs,-1.452,3.419,-0.056,0.478
smeltingexerciserstabilize,Watch_EMAs_Only,0.003,0.421,0.003,0.421
dissuadecelestialrelic,All_Features,-1.275,5.225,0.123,0.698
dissuadecelestialrelic,No_Watch_EMAs,-1.602,5.561,-0.084,0.766
dissuadecelestialrelic,Watch_EMAs_Only,0.104,0.711,0.104,0.711
spinstersubatomiccoyness,All_Features,-0.007,2.955,-0.011,0.382
spinstersubatomiccoyness,No_Watch_EMAs,-0.045,3.018,-0.295,0.444
spinstersubatomiccoyness,Watch_EMAs_Only,-0.081,0.489,-0.081,0.489
washboardceramicsenticing,All_Features,-0.987,8.053,-0.407,1.293
washboardceramicsenticing,No_Watch_EMAs,-1.606,9.341,-0.471,1.312
washboardceramicsenticing,Watch_EMAs_Only,0.084,1.004,0.084,1.004
anagramprobingscrooge,All_Features,-1.539,7.317,0.265,0.797
anagramprobingscrooge,No_Watch_EMAs,-2.043,8.091,0.01,0.933
anagramprobingscrooge,Watch_EMAs_Only,0.274,0.813,0.274,0.813
afflictedrevenueepilepsy,All_Features,0.126,3.154,0.188,0.398
afflictedrevenueepilepsy,No_Watch_EMAs,0.13,3.163,-0.089,0.456
afflictedrevenueepilepsy,Watch_EMAs_Only,-0.055,0.471,-0.055,0.471
subtitlegrievousbazooka,All_Features,-3.183,1.938,-1.748,0.221
subtitlegrievousbazooka,No_Watch_EMAs,-3.478,2.012,-1.891,0.241
subtitlegrievousbazooka,Watch_EMAs_Only,-0.576,0.165,-0.576,0.165
tipoffstarchpartly,All_Features,-0.11,3.682,0.05,0.448
tipoffstarchpartly,No_Watch_EMAs,-0.296,3.926,-0.186,0.516
tipoffstarchpartly,Watch_EMAs_Only,0.088,0.412,0.088,0.412
