id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11
afflictedrevenueepilepsy,2021-06-03,18,0,2,0,68,37,0,20,,,81505.0,22.0,,1.5,2.0,3.25,1.25,1.5,2.25,1.75,2.0,1.5,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-04,100,0,30,0,208,98,0,80,,,23894.0,58.0,122.0,1.1428571428571428,2.5,1.9285714285714286,1.7857142857142858,2.0714285714285716,1.0714285714285714,1.2142857142857142,1.2857142857142858,1.1428571428571428,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-05,9,0,3,0,149,71,0,49,,,22984.0,51.0,156.0,1.0,1.9230769230769231,2.8461538461538463,1.3846153846153846,2.6153846153846154,1.0,1.0,1.2307692307692308,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-06,135,0,16,0,188,119,0,63,,,20055.0,45.0,178.0,1.0,2.3333333333333335,1.75,1.5,1.8333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-07,90,0,10,0,152,60,0,21,,,16796.0,35.0,105.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-08,71,0,14,0,220,69,0,53,,,18809.0,41.0,209.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-09,92,0,32,0,201,71,0,64,,,18928.0,43.0,184.0,2.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,2.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-10,118,0,36,0,166,74,0,36,,,11642.0,33.0,93.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-11,88,0,8,0,192,44,0,38,,,22786.0,51.0,119.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-12,60,0,53,0,289,95,0,188,,,8103.0,28.0,119.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-13,87,0,15,0,136,53,0,41,,,19855.0,37.0,158.0,4.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-14,60,0,49,0,238,77,0,51,,,19039.0,48.0,127.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-15,61,0,18,0,198,68,0,45,,,17260.0,58.0,120.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-16,75,0,30,0,208,92,0,52,,,22154.0,55.0,158.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-17,84,1,22,0,188,86,0,80,,,18576.0,50.0,128.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,
afflictedrevenueepilepsy,2021-06-18,23,0,21,0,137,46,0,70,,,23091.0,47.0,141.0,,,,,,,,,,,,,,,,,,,,
