id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1
anagramprobingscrooge,2020-09-04,0,0,0,0,11,13,0,2,,,70857,24,,2.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-05,0,0,1,0,72,43,0,10,,,25102,83,102.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-06,7,1,123,0,69,47,0,27,,,17271,51,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-07,1,0,63,0,68,49,0,15,,,29453,79,,2.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-08,0,0,23,0,75,47,0,15,,,41305,43,107.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-09,3,0,37,0,91,43,0,13,,,25947,62,105.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-10,3,0,85,0,67,44,0,8,,,22934,71,111.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-11,1,0,55,0,111,86,0,13,,,21526,83,130.0,1.3333333333333333,3.933333333333333,1.6,3.1333333333333333,3.8666666666666667,1.4666666666666666,1.4666666666666666,1.2,1.5333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-12,0,0,4,0,90,49,0,13,,,24463,83,138.0,1.5,3.2142857142857144,1.0,2.5,3.2857142857142856,1.0714285714285714,1.3571428571428572,1.6428571428571428,1.2857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-13,0,0,73,0,60,59,0,6,,,19285,84,97.0,1.5,3.642857142857143,2.2857142857142856,2.2857142857142856,3.0714285714285716,1.1428571428571428,1.2857142857142858,1.4285714285714286,1.2857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-14,0,0,36,0,43,43,0,8,,,22913,74,130.0,1.2,4.2,2.0,2.933333333333333,3.7333333333333334,1.0666666666666667,1.3333333333333333,1.2,1.2666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-15,0,0,32,0,167,70,0,14,,,21381,70,185.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-16,0,0,53,0,160,76,0,12,,,25645,56,206.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-17,0,0,53,0,81,60,0,16,,,25092,69,163.0,1.0,4.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-18,0,0,44,0,51,38,0,6,,,23113,83,97.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-19,0,0,3,0,90,47,0,18,,,15059,92,96.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-20,2,0,108,0,52,46,0,33,,,10166,64,75.0,2.0,5.0,2.0,4.0,5.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-21,0,0,21,0,36,37,0,16,,,17963,73,91.0,2.0,5.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-22,1,0,60,0,73,57,0,13,,,28730,73,124.0,2.0,5.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-23,1,0,38,0,200,100,0,40,,,17505,85,134.0,1.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-24,0,0,61,0,169,88,0,39,,,19870,71,156.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-25,6,0,19,0,241,120,0,115,899.9327666384681,198.0,19848,77,154.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anagramprobingscrooge,2020-09-26,0,1,7,0,264,113,0,69,13596.414062333,603.0,26320,58,109.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,2.5,3.6666666666666665,,5.0,,4.333333333333333,,,,5.0,,,4.666666666666667,1.0,3.0,5.0,,,,4.666666666666667,1.0,1.0,,5.0,,,2.5,,3.0,1.0,4.0
anagramprobingscrooge,2020-09-27,13,0,70,0,215,134,0,142,16981.039660261227,392.0,21323,63,128.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,1.5625,5.0,,5.0,,1.0,2.5,5.0,,5.0,,,,,2.5,5.0,,5.0,,4.0,,2.5,,5.0,,,1.0,,2.3333333333333335,,
