subject_id,watch_data_completeness,watch_total_minutes,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,data_quality_score
afflictedeaselconstant@timestudy_com,0.0,0,6.666666666666667,0.0,15,2.0,4665,2.0
afflictedrevenueepilepsy@timestudy_com,0.0,0,22.80130293159609,97.06951871657753,22928,360.0,854956,35.961246494452084
afloathandworkpastel@timestudy_com,0.0,0,8.873720136518772,0.0,293,5.0,6966,2.6621160409556315
altoironyahoo@timestudy_com,0.0,0,12.121212121212121,0.0,99,4.0,10794,3.6363636363636362
ambushdollhousegenerous@timestudy_com,0.0,0,16.79415855354659,75.00648172154524,6733,124.0,1047469,27.540192082527547
anacondahelplinehatless@timestudy_com,0.0,0,15.384615384615385,0.0,78,4.0,2370,4.615384615384615
anagramprobingscrooge@timestudy_com,0.0,0,25.711416136591897,93.34460950139727,22559,370.0,1575845,35.71680769139675
animateshowerclothes@timestudy_com,0.0,0,17.95553407443209,86.12132352941177,18068,0.0,0,31.223057281153157
animatorwaltzdeed@timestudy_com,0.0,0,1.4809590973201692,0.0,1418,8.0,25341,0.44428772919605075
annuitybreechesdesigned@timestudy_com,0.0,0,12.560706401766003,37.439109255393184,7404,186.0,1166864,14.999944697147756
anthillfastinglucrative@timestudy_com,0.0,0,15.927539101168087,92.54360585269075,22199,364.0,862418,32.54134348615765
anywaymustinesspushiness@timestudy_com,0.0,0,20.171673819742487,89.16155419222905,1421,38.0,120987,32.79996840359146
aortaacclaimdimmed@timestudy_com,0.0,0,13.88888888888889,0.0,108,0.0,0,4.166666666666667
arilliformbortyverbs@timestudy_com,0.0,0,12.280701754385964,0.0,114,4.0,5994,3.684210526315789
arrivalbuffedslighting@timestudy_com,0.0,0,15.498154981549817,0.0,271,2.0,3747,4.649446494464945
arrivejanitoruniformly@timestudy_com,0.0,0,12.709640616086709,82.53434258480516,19466,368.0,1548004,28.57319496026756
atlanticchefhatchet@timestudy_com,0.0,0,12.71293682468607,66.7495666591303,23542,383.0,664985,23.83875104514491
atriumscribefiddle@timestudy_com,0.0,0,5.9447983014862,0.0,471,15.0,50945,1.78343949044586
attestunvaryingappointee@timestudy_com,0.0,0,16.596931659693166,0.0,717,30.0,79202,4.979079497907949
attirecrabbinghumbling@timestudy_com,0.0,0,18.63830720315755,82.76592835657642,23749,374.0,1415505,30.42127066792019
aviationwinterreprise@timestudy_com,0.0,0,15.591397849462366,0.0,186,7.0,13987,4.67741935483871
backfirebankedprudishly@timestudy_com,0.0,0,18.447077254479584,91.55555555555556,23713,367.0,1549872,33.00078984301054
backroomnutcasepanda@timestudy_com,0.0,0,16.65630826600373,55.10204081632652,1658,67.0,174489,21.527504724699075
backyardscapegoatoverrun@timestudy_com,0.0,0,11.904761904761903,0.0,210,10.0,43340,3.5714285714285707
badlandwiltmuseum@timestudy_com,0.0,0,19.054878048780488,63.129951809197095,21427,339.0,1341811,24.655448957393272
bannisterhardwiredladle@timestudy_com,0.0,0,14.9474587175638,72.96770166952723,22144,367.0,1669042,26.374548116127308
bartenderradiatorapplied@timestudy_com,0.0,0,6.689919100905876,26.110876005078293,25369,0.0,0,9.84023853179525
batteringunplowedpatronage@timestudy_com,0.0,0,12.055641421947449,0.0,647,25.0,131862,3.6166924265842346
beavertomatoupscale@timestudy_com,0.0,0,16.88584955286691,80.71910456915057,22549,0.0,0,29.281486236605247
bondingcoasterdirtiness@timestudy_com,0.0,0,18.9364597508636,53.19990868274866,22694,257.0,558886,21.640910530083676
bottledeskworkrequire@timestudy_com,0.0,0,17.565982404692082,83.08470290771176,7365,131.0,625325,30.195205593721152
breechingtamenessdreamboat@timestudy_com,0.0,0,0.625,0.0,160,8.0,15079,0.1875
breedingtrianglestress@timestudy_com,0.0,0,17.730755198832544,53.692889041566474,5652,91.0,333692,21.427093272119706
breedingwikipediajolliness@timestudy_com,0.0,0,12.956204379562045,0.0,548,25.0,24117,3.8868613138686134
brinkaminounframed@timestudy_com,0.0,0,16.578710258720555,69.04107158697774,19042,341.0,1017557,25.685934553709487
browsingfrisbeepersevere@timestudy_com,0.0,0,12.911877394636015,68.9161554192229,5055,90.0,426917,24.548409844157675
buckedponybony@timestudy_com,0.0,0,8.045977011494253,0.0,87,0.0,0,2.413793103448276
buckedstiflestagnant@timestudy_com,0.0,0,17.825793382849426,77.40914096916299,16150,362.0,1151365,28.570480305603724
bulbdemocracydropper@timestudy_com,0.0,0,12.951807228915662,0.0,332,11.0,6321,3.8855421686746983
busybodyestimatesensitize@timestudy_com,0.0,0,21.651090342679126,75.0,718,27.0,102524,28.99532710280374
cameracaressconfigure@timestudy_com,0.0,0,14.904302972716167,53.73463599117554,16886,308.0,972207,20.59168168916751
canecondonethousand@timestudy_com,0.0,0,19.485678444490905,91.96610169491525,7733,204.0,1480739,33.435534041821846
catchableonscreenspectator@timestudy_com,0.0,0,13.33651247814338,75.73008849557522,15331,200.0,478123,26.719980292115576
catsupexploitmocker@timestudy_com,0.0,0,19.384775808133472,42.52044252044252,24143,371.0,1634451,18.571565498572795
caucuscattlemockup@timestudy_com,0.0,0,18.50324708792908,89.64851941951179,21622,368.0,1081320,32.445529952232256
