id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,activity_0_response,activity_2_response,alone_0_response,burden_1_response,control_1_response,demands_1_response,energy_9_response,excite_14_response,family_1_response,fatigue_13_response,feel_eat_1_response,feel_exer_1_response,feel_sit_1_response,focus_3_response,friend_1_response,frust_12_response,happy_8_response,hunger_0_response,int_eat_1_response,int_exer_3_response,int_sed_1_response,nervous_4_response,pain_0_response,proc_4_response,prod_0_response,relax_10_response,routine_0_response,sad_7_response,sleep_0_response,stress_2_response,tense_11_response,tired_1_response
diagramuncoupleoutput,2021-01-29,22.0,0.0,37.0,0.0,202.0,0.0,0.0,90.0,,,59467.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-01-30,38.0,0.0,32.0,0.0,205.0,0.0,0.0,163.0,,,16748.0,62.0,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-01-31,35.0,0.0,48.0,0.0,245.0,0.0,0.0,97.0,,,12606.0,50.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-01,0.0,0.0,10.0,0.0,249.0,0.0,0.0,112.0,,,19661.0,62.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-02,0.0,1.0,16.0,0.0,314.0,0.0,0.0,127.0,,,16325.0,63.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-03,25.0,0.0,30.0,0.0,295.0,0.0,0.0,141.0,,,16504.0,73.0,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-04,1.0,1.0,17.0,0.0,250.0,0.0,0.0,117.0,,,13770.0,49.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-05,5.0,1.0,20.0,0.0,222.0,0.0,0.0,105.0,,,18088.0,61.0,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-06,27.0,0.0,20.0,0.0,236.0,0.0,0.0,126.0,,,13808.0,59.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-07,34.0,0.0,24.0,0.0,294.0,0.0,0.0,109.0,,,11375.0,52.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-08,0.0,1.0,23.0,0.0,231.0,0.0,0.0,76.0,,,14656.0,55.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagramuncoupleoutput,2021-02-09,0.0,0.0,30.0,0.0,362.0,0.0,0.0,173.0,,,14138.0,59.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
