id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1
dissuadecelestialrelic,2020-12-17,,,,,,,,,,,67421,16,,1.0,4.625,1.0,3.125,5.0,1.0,1.125,1.0,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-18,,,,,,,,,,,25892,32,20.0,1.0,4.833333333333333,1.0,3.8333333333333335,4.916666666666667,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-19,,,,,,,,,,,18119,37,45.0,1.0,4.9,1.0,4.1,4.8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-20,,,,,,,,,,,10535,22,88.0,1.0,5.0,1.3636363636363635,3.4545454545454546,4.2727272727272725,1.1818181818181819,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-21,,,,,,,,,,,12046,28,63.0,1.0,5.0,1.5,4.0,5.0,1.0,1.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-22,,,,,,,,,,,11119,26,42.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-23,,,,,,,,,,,13979,26,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-24,,,,,,,,,,,8150,20,51.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-25,,,,,,,,,,,6723,16,42.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-26,,,,,,,,,,,9227,24,27.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-27,,,,,,,,,,,10098,17,60.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-28,,,,,,,,,,,6330,19,50.0,2.0,5.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-29,,,,,,,,,,,13302,29,32.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-30,,,,,,,,,,,19454,15,93.0,2.0,5.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2020-12-31,,,,,,,,,,,11361,17,75.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-01,,,,,,,,,,,7075,29,90.0,1.0833333333333333,4.166666666666667,1.8333333333333333,3.6666666666666665,2.5833333333333335,1.25,1.5833333333333333,1.5,1.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-02,,,,,,,,,,,7181,22,6.0,1.0,4.0,2.0,3.4545454545454546,2.1818181818181817,1.1818181818181819,1.0909090909090908,1.2727272727272727,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-03,,,,,,,,,,,15185,47,33.0,1.9166666666666667,2.9166666666666665,2.0,2.6666666666666665,2.25,1.1666666666666667,2.0,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-04,,,,,,,,,,,23166,38,93.0,3.3333333333333335,1.6666666666666667,2.4166666666666665,2.25,1.25,3.3333333333333335,3.75,3.3333333333333335,2.5714285714285716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-05,,,,,,,,,,,38979,17,53.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-06,,,,,,,,,,,37422,32,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-07,,,,,,,,,,,32091,24,54.0,4.5,1.0,2.0,2.0,1.5,4.0,5.0,4.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-08,,,,,,,,,3948.4514941600055,45.0,36315,42,88.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,,,,1.0,1.0,,1.0,,,,1.0,,3.0,1.0,4.666666666666667,,2.5,,,,,,,,,,,,,4.0,
dissuadecelestialrelic,2021-01-09,,,,,,,,,3880.933933365736,668.0,30274,30,98.0,,,,,,,,,,5.0,,,4.0,1.0,1.0,,1.0,,,,1.0,,4.0,1.0,4.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,4.0,4.2,
dissuadecelestialrelic,2021-01-10,,,,,,,,,5616.730073290632,434.0,26318,30,87.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,,4.0,,1.0,,1.0,,,,1.0,,3.25,1.0,,3.0,,4.0,,1.0,,,3.5714285714285716,,2.2,,5.0,,4.0,4.0,
dissuadecelestialrelic,2021-01-11,,,,,,,,,4485.198975285739,503.0,41519,32,94.0,,,,,,,,,,5.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,,,4.5,,1.0,4.0,2.0,5.0,1.0,4.0,5.0,,1.0,,,4.0,,3.0,,4.8,,,,
dissuadecelestialrelic,2021-01-12,,,,,,,,,4326.469801296002,663.0,19520,32,129.0,4.5,1.5,2.0,1.5,1.5,4.0,4.5,4.5,4.0,5.0,4.0,5.0,4.0,1.0,,1.0,,1.0,,4.5,,1.0,,,4.75,1.0,3.75,4.0,,1.0,4.0,,,,4.0,,5.0,,,,
dissuadecelestialrelic,2021-01-13,,,,,,,,,5715.657926265501,588.0,32536,37,47.0,,,,,,,,,,5.0,4.0,,,,,4.0,,2.0,,3.6,1.0,1.0,,,1.0,2.857142857142857,,4.0,,1.0,5.0,1.0,,,1.0,,5.0,,2.5,,
dissuadecelestialrelic,2021-01-14,,,,,,,,,6541.571467624583,701.0,19782,34,88.0,1.0909090909090908,3.3636363636363638,1.8181818181818181,2.8181818181818183,3.5454545454545454,1.0,1.4545454545454546,1.1818181818181819,1.0909090909090908,4.2,4.5,,,,,1.75,,,,4.0,1.0,,,1.0,1.0,4.0,,4.0,,1.0,,1.0,,,,,,,1.0,,
dissuadecelestialrelic,2021-01-15,,,,,,,,,9204.448497431124,460.0,23880,43,30.0,1.1538461538461537,3.3846153846153846,1.6153846153846154,3.076923076923077,2.230769230769231,1.3076923076923077,1.2307692307692308,1.3846153846153846,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-16,,,,,,,,,6455.885101263269,650.0,14702,26,61.0,1.4545454545454546,3.4545454545454546,1.8181818181818181,2.8181818181818183,2.3636363636363638,1.4545454545454546,1.7272727272727273,1.4545454545454546,1.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic,2021-01-17,,,,,,,,,8753.95209910857,389.0,13637,28,106.0,1.0833333333333333,3.5833333333333335,1.9166666666666667,3.0,3.0,1.25,1.4166666666666667,1.0833333333333333,1.0833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
