id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD_response,Q2_HAPP_response,Q3_FATIG_response,Q4_EN_response,Q5_REL_response,Q6_TEN_response,Q7_STRESS_response,Q8_FRUST_response,Q9_NERV_response,activity_0_response,activity_2_response,alone_0_response,burden_1_response,control_1_response,demands_1_response,energy_9_response,excite_14_response,family_1_response,fatigue_13_response,feel_eat_1_response,feel_exer_1_response,feel_sit_1_response,focus_3_response,friend_1_response,frust_12_response,happy_8_response,hunger_0_response,int_eat_1_response,int_exer_3_response,int_sed_1_response,nervous_4_response,pain_0_response,proc_4_response,prod_0_response,relax_10_response,routine_0_response,sad_7_response,sleep_0_response,stress_2_response,tense_11_response,tired_1_response
genderradiantlycharging,2021-04-24,,,,,,,,,,,65768.0,25.0,,1.0,4.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-25,,,,,,,,,,,23691.0,73.0,54.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-26,,,,,,,,,,,24451.0,57.0,73.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-27,,,,,,,,,,,13780.0,56.0,73.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-28,,,,,,,,,,,19658.0,72.0,57.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-29,,,,,,,,,,,11598.0,80.0,29.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-04-30,,,,,,,,,,,13292.0,50.0,22.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-05-01,,,,,,,,,,,24217.0,74.0,64.0,1.0833333333333333,2.25,1.0,3.25,1.9166666666666667,2.5,3.0,3.5833333333333335,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-05-02,,,,,,,,,,,14442.0,87.0,67.0,1.0,3.5833333333333335,1.1666666666666667,3.5833333333333335,2.8333333333333335,1.25,1.75,1.3333333333333333,1.0833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genderradiantlycharging,2021-05-03,,,,,,,,,,,16427.0,105.0,13.0,1.0,2.642857142857143,1.7142857142857142,2.642857142857143,2.4285714285714284,1.9285714285714286,3.0714285714285716,2.142857142857143,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
