id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1,trait_15,trait_22,trait_23,trait_24,trait_25,trivia_1,trivia_11,trivia_20,trivia_5,trivia_9
groinunratedbattery,2020-05-22,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,,,81498.0,12.0,,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-23,0.0,0.0,0.0,0.0,46.0,45.0,0.0,2.0,,,31600.0,76.0,117.0,1.0,5.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-24,0.0,0.0,0.0,0.0,39.0,36.0,0.0,5.0,,,27755.0,51.0,165.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-25,0.0,0.0,0.0,0.0,58.0,75.0,0.0,7.0,,,24992.0,67.0,171.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-26,0.0,0.0,0.0,0.0,112.0,47.0,0.0,12.0,,,27290.0,84.0,130.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-27,0.0,0.0,1.0,0.0,72.0,41.0,0.0,5.0,,,25651.0,55.0,213.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-28,0.0,0.0,0.0,0.0,109.0,56.0,0.0,5.0,,,30563.0,46.0,206.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-29,0.0,0.0,0.0,0.0,95.0,56.0,0.0,9.0,,,27161.0,66.0,239.0,1.0,4.909090909090909,1.0,4.7272727272727275,4.7272727272727275,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-30,11.0,0.0,1.0,0.0,83.0,60.0,0.0,14.0,,,26019.0,64.0,220.0,1.0,5.0,1.0,4.6,4.8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groinunratedbattery,2020-05-31,0.0,0.0,1.0,0.0,101.0,65.0,0.0,2.0,,,26087.0,95.0,158.0,1.0,4.916666666666667,1.0,4.5,4.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
