id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD_response,Q2_HAPP_response,Q3_FATIG_response,Q4_EN_response,Q5_REL_response,Q6_TEN_response,Q7_STRESS_response,Q8_FRUST_response,Q9_NERV_response,activity_0_response,activity_2_response,alone_0_response,burden_1_response,control_1_response,demands_1_response,energy_9_response,excite_14_response,family_1_response,fatigue_13_response,feel_eat_1_response,feel_exer_1_response,feel_sit_1_response,focus_3_response,friend_1_response,frust_12_response,happy_8_response,hunger_0_response,int_eat_1_response,int_exer_3_response,int_sed_1_response,nervous_4_response,pain_0_response,proc_4_response,prod_0_response,relax_10_response,routine_0_response,sad_7_response,sleep_0_response,stress_2_response,tense_11_response,tired_1_response
idealistsustainerexpansive,2021-03-05,0.0,0.0,1.0,0.0,34.0,21.0,0.0,3.0,,,2966,17,,1.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-06,12.0,0.0,20.0,0.0,95.0,15.0,0.0,37.0,,,9339,65,19.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-07,0.0,0.0,0.0,0.0,43.0,5.0,0.0,1.0,,,12366,32,22.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-08,4.0,0.0,45.0,0.0,275.0,47.0,0.0,89.0,,,11297,46,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-09,3.0,0.0,31.0,0.0,339.0,25.0,0.0,79.0,,,4449,30,42.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-10,43.0,0.0,51.0,0.0,323.0,61.0,0.0,104.0,,,18284,37,52.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-11,0.0,0.0,0.0,0.0,96.0,16.0,0.0,6.0,,,14148,47,53.0,4.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-12,4.0,1.0,52.0,0.0,296.0,48.0,0.0,211.0,,,22264,44,42.0,1.1666666666666667,2.5,3.0833333333333335,1.5833333333333333,1.5833333333333333,2.1666666666666665,3.3333333333333335,3.0833333333333335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-13,4.0,0.0,17.0,0.0,89.0,18.0,0.0,17.0,,,40261,46,54.0,1.0,4.111111111111111,1.1111111111111112,2.5555555555555554,3.7777777777777777,1.0,1.0,1.2222222222222223,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-14,0.0,0.0,0.0,0.0,68.0,12.0,0.0,2.0,,,8645,41,35.0,1.0,3.1666666666666665,2.1666666666666665,1.5,2.1666666666666665,1.0,1.6666666666666667,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-15,6.0,0.0,73.0,0.0,287.0,67.0,0.0,117.0,,,17143,62,38.0,2.5454545454545454,1.4545454545454546,3.6363636363636362,1.3636363636363635,1.2727272727272727,4.2727272727272725,4.454545454545454,4.2727272727272725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-16,4.0,0.0,47.0,0.0,310.0,49.0,0.0,78.0,,,14793,44,87.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-17,14.0,0.0,11.0,0.0,268.0,29.0,0.0,43.0,,,28948,60,176.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-18,1.0,0.0,1.0,0.0,129.0,21.0,0.0,8.0,,,23872,59,79.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-19,17.0,3.0,24.0,0.0,238.0,21.0,0.0,75.0,,,28914,70,61.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-20,35.0,0.0,3.0,0.0,266.0,23.0,0.0,88.0,,,13874,67,45.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-21,1.0,0.0,0.0,0.0,220.0,19.0,0.0,16.0,,,25216,84,253.0,4.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-22,0.0,0.0,0.0,0.0,161.0,49.0,0.0,20.0,,,24612,61,103.0,3.0,2.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-23,0.0,0.0,0.0,0.0,174.0,36.0,0.0,12.0,,,23473,52,171.0,3.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-24,0.0,0.0,2.0,0.0,181.0,47.0,0.0,28.0,,,20255,74,89.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-25,6.0,0.0,7.0,0.0,192.0,49.0,0.0,31.0,,,24792,59,148.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idealistsustainerexpansive,2021-03-26,5.0,0.0,3.0,0.0,235.0,95.0,0.0,61.0,,,34358,75,94.0,2.4,1.8,3.5,1.0,1.8,1.9,3.7,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
