id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,activity_0_response,activity_2_response,alone_0_response,burden_1_response,control_1_response,demands_1_response,energy_9_response,excite_14_response,family_1_response,fatigue_13_response,feel_eat_1_response,feel_exer_1_response,feel_sit_1_response,focus_3_response,friend_1_response,frust_12_response,happy_8_response,hunger_0_response,int_eat_1_response,int_exer_3_response,int_sed_1_response,nervous_4_response,pain_0_response,proc_4_response,prod_0_response,relax_10_response,routine_0_response,sad_7_response,sleep_0_response,stress_2_response,tense_11_response,tired_1_response
ropetinworkdemote,2021-02-16,0,0,1,0,15,8,0,0,,,74921,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-17,0,0,4,0,52,29,0,9,,,18210,48,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-18,0,0,0,0,30,23,0,8,,,27688,58,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-19,1,0,0,0,46,52,0,7,,,24413,55,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-20,0,0,0,0,29,54,0,6,,,26650,55,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-21,4,0,0,0,76,40,0,21,,,27643,42,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-22,0,0,0,0,64,49,0,6,,,38947,51,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-23,1,0,0,0,63,51,0,13,,,24510,57,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-24,0,0,0,0,54,39,0,6,,,24322,48,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-25,1,0,0,0,54,32,0,12,,,21897,64,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-26,0,0,0,0,46,15,0,6,,,12312,31,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropetinworkdemote,2021-02-27,1,0,0,0,58,23,0,6,,,15650,30,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
