id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1
subtitlegrievousbazooka,2020-11-29,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,,,81090,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-11-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,39574,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-01,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,,,39698,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-02,,,,,,,,,,,74493,6,,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-03,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,,,20396,41,47.0,1.0,4.0,2.3636363636363638,3.5454545454545454,2.727272727272727,1.5454545454545454,1.2727272727272727,1.1818181818181819,1.0909090909090908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-04,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,,,46812,22,,1.0,3.4285714285714284,1.7142857142857142,2.857142857142857,3.0,1.0,1.1428571428571428,1.1428571428571428,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,44369,10,,1.0,3.3333333333333335,1.3333333333333333,2.6666666666666665,3.6666666666666665,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-06,0.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,,,54220,13,,1.0,3.0,2.0,2.5,4.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,41545,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subtitlegrievousbazooka,2020-12-08,,,,,,,,,,,73928,8,,1.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
