id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11
tipoffstarchpartly,2021-02-01,0,0,12,0,96,0,0,51,,,59716,30,,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-02,0,0,35,0,191,0,0,98,,,11776,25,41.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-03,0,0,17,0,157,0,0,55,,,12852,33,42.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-04,0,0,77,0,202,0,0,121,,,18632,47,43.0,1.0909090909090908,2.5454545454545454,1.4545454545454546,1.8181818181818181,3.1818181818181817,1.4545454545454546,1.0909090909090908,1.4545454545454546,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-05,0,0,37,0,186,0,0,81,,,10764,54,59.0,1.75,1.9166666666666667,2.0,1.9166666666666667,2.1666666666666665,2.25,2.3333333333333335,2.0833333333333335,1.0833333333333333,,,,,,,,,,,
tipoffstarchpartly,2021-02-06,0,0,18,0,269,0,0,152,,,18083,64,34.0,2.642857142857143,1.9285714285714286,2.9285714285714284,1.5,2.7857142857142856,1.8571428571428572,1.8571428571428572,1.6428571428571428,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-07,40,1,125,0,195,4,0,181,,,13855,68,36.0,1.0,3.0833333333333335,2.3333333333333335,2.3333333333333335,3.1666666666666665,1.0833333333333333,1.0,1.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-08,0,0,21,0,173,0,0,120,,,25982,26,48.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-09,0,0,22,0,111,0,0,32,,,44028,18,21.0,,,,,,,,,,,,,,,,,,,,
tipoffstarchpartly,2021-02-10,0,0,22,0,276,0,0,116,,,41881,15,16.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-11,0,0,41,0,417,0,0,139,,,13735,49,25.0,,,,,,,,,,,,,,,,,,,,
tipoffstarchpartly,2021-02-12,0,0,35,0,299,0,0,161,,,25799,49,21.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-13,0,0,33,0,245,0,0,123,,,17692,54,22.0,5.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-14,0,0,17,0,240,0,0,134,,,12167,29,32.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-15,0,0,29,0,178,0,0,69,,,27586,43,22.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-16,0,0,24,0,251,0,0,85,,,37704,33,18.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,,,,,,,,,,,
tipoffstarchpartly,2021-02-17,0,0,22,0,192,0,0,107,,,13274,48,21.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,
