id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,activity_0,activity_2,alone_0,burden_1,control_1,demands_1,energy_9,excite_14,family_1,fatigue_13,feel_eat_1,feel_exer_1,feel_sit_1,focus_3,friend_1,frust_12,happy_8,hunger_0,int_eat_1,int_exer_3,int_sed_1,nervous_4,pain_0,proc_4,prod_0,relax_10,routine_0,sad_7,sleep_0,stress_2,tense_11,tired_1
washboardceramicsenticing,2021-03-12,1,0,0,0,63,7,0,12,,,69616,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-13,0,0,0,0,121,21,0,24,,,23301,85,72.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-14,0,0,0,0,103,19,0,8,,,23268,47,75.0,2.0,3.0,3.0,4.0,3.0,3.5,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-15,6,1,0,0,111,44,0,18,,,22133,82,97.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-16,0,0,0,0,102,16,0,7,,,30639,68,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-17,0,0,0,0,74,4,0,4,,,27268,43,72.0,5.0,3.0,4.0,4.0,2.5,4.5,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-18,8,0,2,0,86,36,0,38,,,26445,88,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-19,0,0,1,0,126,11,0,15,,,20407,51,95.0,4.636363636363637,1.1818181818181819,5.0,1.0,1.0,5.0,4.909090909090909,4.909090909090909,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-20,0,0,0,0,75,18,0,10,,,28151,51,50.0,4.666666666666667,1.0,4.833333333333333,1.0,1.0,4.916666666666667,4.916666666666667,4.916666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-21,0,0,0,0,78,9,0,2,,,16816,89,103.0,2.0,1.4166666666666667,3.75,2.5833333333333335,2.5,3.8333333333333335,3.8333333333333335,3.3333333333333335,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-22,0,0,0,0,88,24,0,16,,,20280,46,97.0,1.3076923076923077,1.0,3.8461538461538463,1.0769230769230769,1.3846153846153846,3.769230769230769,4.0,3.6923076923076925,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-23,4,0,0,0,108,17,0,19,,,21791,101,8.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-24,2,0,6,0,106,36,0,17,,,26845,96,65.0,1.0,1.0,2.5,2.0,1.5,3.5,3.5,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-25,4,0,0,0,90,17,0,23,,,24997,70,59.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-26,2,0,0,0,192,29,0,18,,,26258,44,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-27,1,0,2,0,87,15,0,11,,,21771,69,46.0,1.0,2.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-28,13,0,4,0,72,56,0,30,,,19577,87,38.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-29,12,0,4,0,106,59,0,19,,,20599,78,43.0,1.0,4.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-30,10,0,1,0,104,28,0,19,,,27806,65,9.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-03-31,0,0,0,0,62,18,0,9,,,22323,38,30.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-01,0,0,0,0,106,17,0,14,,,19654,82,37.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-02,0,0,2,0,114,18,0,26,0.0,0.0,29235,65,11.0,1.7857142857142858,1.3571428571428572,3.2142857142857144,1.6428571428571428,1.2142857142857142,2.2142857142857144,3.0714285714285716,2.4285714285714284,1.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-03,1,0,0,0,67,28,0,25,0.0,37.0,32756,45,22.0,1.1111111111111112,2.2222222222222223,2.888888888888889,2.4444444444444446,2.0,1.7777777777777777,2.111111111111111,1.5555555555555556,1.2222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-04,2,0,0,0,99,36,0,24,3686.269573996009,65.0,26567,86,55.0,1.0,1.6666666666666667,2.0,1.8333333333333333,1.3333333333333333,2.5,2.6666666666666665,1.8333333333333333,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-05,0,0,0,0,104,8,0,9,7984.520451764094,503.0,22714,79,54.0,1.1666666666666667,1.5,2.0,1.6666666666666667,1.8333333333333333,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washboardceramicsenticing,2021-04-06,0,0,2,0,80,11,0,15,8557.061219449546,371.0,24652,59,20.0,,,,,,,,,,2.5,,,5.0,1.0,,,,,,,1.0,,4.0,1.0,,2.0,1.0,,,1.0,3.6666666666666665,,,,,,,,5.0,,
washboardceramicsenticing,2021-04-07,0,0,0,0,87,8,0,4,8203.387524913827,360.0,26327,59,7.0,1.5,3.5,4.5,3.5,2.0,2.5,3.5,3.0,2.5,2.3333333333333335,4.833333333333333,,1.0,3.3333333333333335,,,,,5.0,1.0,1.0,1.0,5.0,1.0,,4.0,1.0,,1.0,1.0,3.2,,,3.3333333333333335,3.0,,,,,5.0,
washboardceramicsenticing,2021-04-08,22,0,0,0,112,37,0,26,7240.954105955596,596.0,26259,51,7.0,1.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,4.2,,1.0,,2.3333333333333335,5.0,,,5.0,1.0,,1.5,5.0,1.0,,,1.0,,,,1.0,1.0,1.0,5.0,2.5,,1.0,,,3.0,1.0
washboardceramicsenticing,2021-04-09,0,0,0,0,93,12,0,11,9119.0590546299,536.0,21226,62,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,,1.0,,,4.333333333333333,,3.0,,2.5,1.0,1.0,4.666666666666667,,1.0,4.75,1.0,2.5,,,,1.0,,5.0,,,,,,4.0,5.0
