,0
Q6_TEN,0.4396594755252921
Q8_FRUST,0.42363454608743256
tense_11,0.31467828643043766
nervous_4,0.2966951325460291
Q1_SAD,0.29393398290511036
frust_12,0.27386013624033545
Q9_NERV,0.2725929382906153
sad_7,0.2052830035358712
Q3_FATIG,0.1505316558371028
proc_4,0.060719989590855165
USAGE_DURATION_MIN,0.030875078662481868
UNLOCK_EVENTS_NUM,0.019715165999007096
TILTING,0.01404159308883992
MIMS_SUM_WEAR,0.011970123660951328
SCREEN_ON_SECONDS,0.006535452773280469
int_exer_3,-0.0008602578368271289
STILL,-0.0019661480731898062
IN_VEHICLE,-0.015109117056195023
focus_3,-0.015269760344878765
SLEEP_MINUTES,-0.019032539840623273
Q4_EN,-0.046837319535952826
ON_BIKE,-0.047009054432351406
ON_FOOT,-0.06318127172618629
UNKNOWN,-0.06365836998194468
excite_14,-0.07243506376379652
Q2_HAPP,-0.13497765093053615
happy_8,-0.19009897670652343
Q5_REL,-0.20196882886699966
relax_10,-0.2132439655665142
