,between_subject,avg_within_subject,difference,abs_difference
IN_VEHICLE,0.6861478759376053,-0.010782130216570799,0.6969300061541761,0.6969300061541761
Q1_SAD,-0.341656369824517,0.3545245295553833,-0.6961808993799004,0.6961808993799004
frust_12,-0.4476772855720982,0.21678722347021723,-0.6644645090423154,0.6644645090423154
STILL,0.6647452800193399,0.029191389346013792,0.635553890673326,0.635553890673326
sad_7,-0.44598373242191003,0.16561245447062006,-0.6115961868925301,0.6115961868925301
SCREEN_ON_SECONDS,-0.5554063509798304,0.005974014806030125,-0.5613803657858605,0.5613803657858605
SLEEP_MINUTES,-0.5947546595000275,-0.03397027114256509,-0.5607843883574624,0.5607843883574624
tense_11,-0.19515232675919889,0.2611861879829428,-0.4563385147421417,0.4563385147421417
Q6_TEN,0.14369296875321086,0.5279575713330038,-0.38426460257979295,0.38426460257979295
int_exer_3,-0.3644948906305166,-0.01682778855321953,-0.34766710207729706,0.34766710207729706
UNKNOWN,0.27667478574524346,-0.056654650584805656,0.33332943633004913,0.33332943633004913
excite_14,-0.4075471208813234,-0.1106274384932043,-0.29691968238811906,0.29691968238811906
nervous_4,-0.0008621556969036326,0.2702650994483832,-0.2711272551452868,0.2711272551452868
ON_BIKE,0.23257887648419,-0.03596458737647858,0.2685434638606686,0.2685434638606686
USAGE_DURATION_MIN,-0.24667867337600888,0.006512454094585511,-0.2531911274705944,0.2531911274705944
ON_FOOT,0.18927538551020506,-0.04649345928272414,0.2357688447929292,0.2357688447929292
focus_3,-0.21080231460695578,-0.004436745143361361,-0.2063655694635944,0.2063655694635944
Q5_REL,-0.13084681974022097,-0.32017680928080017,0.1893299895405792,0.1893299895405792
Q3_FATIG,0.08102092651055094,0.22820576627337946,-0.14718483976282853,0.14718483976282853
TILTING,-0.16608098005624114,-0.035190859817317545,-0.1308901202389236,0.1308901202389236
UNLOCK_EVENTS_NUM,-0.08987826719481595,0.029797423202290663,-0.11967569039710661,0.11967569039710661
happy_8,-0.3236928966104394,-0.2259445719420575,-0.09774832466838188,0.09774832466838188
proc_4,-0.06508923665290052,0.02226429745766399,-0.08735353411056451,0.08735353411056451
MIMS_SUM_WEAR,0.0761879648791427,0.00730138803312316,0.06888657684601954,0.06888657684601954
Q9_NERV,0.3445993092796768,0.3927889890593743,-0.048189679779697514,0.048189679779697514
Q2_HAPP,-0.1904874482638812,-0.2180208981635717,0.027533449899690504,0.027533449899690504
relax_10,-0.21758052955971238,-0.23756252835981773,0.019981998800105344,0.019981998800105344
Q4_EN,-0.07845982809660113,-0.09017994659438945,0.011720118497788326,0.011720118497788326
