,Q7_STRESS,Q7_STRESS,Q7_STRESS,stress_2,stress_2,stress_2,stress_normalized,stress_normalized
,mean,std,count,mean,std,count,mean,std
id,,,,,,,,
afflictedrevenueepilepsy,1.493,0.749,370,1.844,0.467,370,0.0,1.0
anagramprobingscrooge,2.671,0.94,371,3.729,0.562,371,-0.0,1.0
diagramuncoupleoutput,1.85,0.827,340,2.685,0.574,340,-0.0,1.0
dissuadecelestialrelic,2.38,0.832,353,3.232,0.508,353,0.0,1.0
groinunratedbattery,1.001,0.007,368,1.053,0.074,368,-0.0,1.0
smeltingexerciserstabilize,3.501,0.542,222,4.561,0.144,222,-0.0,1.0
spinstersubatomiccoyness,1.556,0.593,370,1.472,0.312,370,-0.0,1.0
subtitlegrievousbazooka,1.134,0.328,368,1.824,0.485,368,-0.0,1.0
tipoffstarchpartly,1.551,0.579,358,1.498,0.344,358,0.0,1.0
washboardceramicsenticing,2.603,1.328,381,2.393,0.585,381,-0.0,1.0
