,0
Q6_TEN,0.6658301455423966
Q9_NERV,0.6320511212121838
Q8_FRUST,0.5908445830534629
Q1_SAD,0.5043654345723716
nervous_4,0.48032435963677145
frust_12,0.4239950665382333
tense_11,0.41200394864993195
STILL,0.3558524021281883
sad_7,0.28634607033112275
Q3_FATIG,0.23960622460196251
proc_4,0.19752715075257724
USAGE_DURATION_MIN,0.15356746527739784
IN_VEHICLE,0.10535091244462091
ON_BIKE,0.07252092594755646
UNKNOWN,0.06254856113923932
MIMS_SUM_WEAR,0.06132448535326805
TILTING,0.031180110885559335
Q4_EN,0.015455603322474094
UNLOCK_EVENTS_NUM,-0.016474405623696866
SLEEP_MINUTES,-0.019512694236445367
SCREEN_ON_SECONDS,-0.02367427672728672
int_exer_3,-0.07318400924231633
excite_14,-0.12110567088752135
focus_3,-0.14458290997848228
ON_FOOT,-0.18604027637778522
relax_10,-0.3323083465746904
happy_8,-0.3789506688811086
Q2_HAPP,-0.3942184664172348
Q5_REL,-0.5101336876061376
