,0
Q6_TEN,0.6448065386897675
Q1_SAD,0.5614362626478538
Q9_NERV,0.555748529781715
Q8_FRUST,0.49446613114948884
tense_11,0.48626737087185395
nervous_4,0.387612858559558
sad_7,0.36968368317117595
frust_12,0.2549228185597095
Q3_FATIG,0.24122559712846628
SCREEN_ON_SECONDS,0.23530233074602405
USAGE_DURATION_MIN,0.19449984161766373
STILL,0.14060985250411792
proc_4,0.1117820680592484
UNLOCK_EVENTS_NUM,0.0768723700048718
UNKNOWN,-0.07887273184210254
IN_VEHICLE,-0.08315011880023122
ON_FOOT,-0.0992929506533932
MIMS_SUM_WEAR,-0.10161831345085875
SLEEP_MINUTES,-0.10583335839372857
ON_BIKE,-0.11764104521566307
int_exer_3,-0.12544280603716332
focus_3,-0.12554470561766734
TILTING,-0.15409950725629087
Q4_EN,-0.2122508960950685
excite_14,-0.2640178294124566
relax_10,-0.3041495592419412
happy_8,-0.42072776446484955
Q2_HAPP,-0.5039947370861297
Q5_REL,-0.528985463021738
