,0
Q6_TEN,0.41014514859959944
Q3_FATIG,0.40817955765701847
Q1_SAD,0.4051319842579708
Q8_FRUST,0.36047814691296726
frust_12,0.24828969486531538
sad_7,0.21643411451306022
nervous_4,0.12356778236799613
TILTING,0.115855539012462
focus_3,0.11152580141877687
STILL,0.10734909255123362
tense_11,0.09798562400327226
ON_FOOT,0.07293508260778042
UNLOCK_EVENTS_NUM,0.06405126231235309
Q9_NERV,0.06021301123654637
IN_VEHICLE,0.05523661770336437
ON_BIKE,0.052158801052958295
UNKNOWN,0.04899224430451877
SCREEN_ON_SECONDS,0.000806680172271808
MIMS_SUM_WEAR,-0.02272155797161404
SLEEP_MINUTES,-0.05311297359246227
int_exer_3,-0.07856923028169112
Q5_REL,-0.08181320581713052
excite_14,-0.19497764203725457
relax_10,-0.1983845715260354
proc_4,-0.22078586790658822
Q2_HAPP,-0.22186768704464965
USAGE_DURATION_MIN,-0.25111837887675914
happy_8,-0.2555621497203994
Q4_EN,-0.28767736411327854
