,0
Q6_TEN,0.6158372465105906
Q8_FRUST,0.44730563771852305
Q9_NERV,0.34374806998831364
Q1_SAD,0.33938728451262185
nervous_4,0.2666903340700491
tense_11,0.20850853195769367
MIMS_SUM_WEAR,0.1906246406302901
Q3_FATIG,0.16619894537915889
proc_4,0.1587067606000344
frust_12,0.15623153956774835
excite_14,0.11819684394616349
int_exer_3,0.11080957411232079
sad_7,0.08888773404916807
Q4_EN,0.047883175354675706
SCREEN_ON_SECONDS,0.03850533546964236
USAGE_DURATION_MIN,-0.010244851800433687
TILTING,-0.013263580211360315
IN_VEHICLE,-0.02843078762871377
ON_FOOT,-0.04497719022676072
UNLOCK_EVENTS_NUM,-0.05581265568914941
ON_BIKE,-0.05933268725520867
STILL,-0.07033522640260231
focus_3,-0.10898634147681084
Q2_HAPP,-0.13099671891718484
SLEEP_MINUTES,-0.17487024140590504
UNKNOWN,-0.1797057926442198
relax_10,-0.18841481897845136
happy_8,-0.33987948313021515
Q5_REL,-0.47797279039779145
